season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_type,win_margin,id
2025,2025-04-07,RCB,MI,"Wankhede Stadium, Mumbai",Mumbai,MI,field,RCB,runs,12,1096
2025,2025-04-08,LSG,KKR,"Eden Gardens, Kolkata",Kolkata,KKR,field,LSG,runs,4,1097
2025,2025-04-08,PBKS,CSK,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,PBKS,bat,PBKS,runs,18,1098
2025,2025-04-09,GT,RR,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,RR,field,GT,runs,58,1099
2025,2025-04-10,RCB,DC,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,DC,field,DC,wickets,6,1100
2025,2025-04-11,CSK,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,KKR,field,KKR,wickets,8,1101
2025,2025-04-12,PBKS,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,PBKS,bat,SRH,wickets,8,1102
2025,2025-04-12,GT,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,field,LSG,wickets,6,1103
2025,2025-04-13,RR,RCB,"Sawai Mansingh Stadium, Jaipur",Jaipur,RCB,field,RCB,wickets,9,1104
2025,2025-04-13,MI,DC,"Arun Jaitley Stadium, Delhi",Delhi,DC,field,MI,runs,12,1105
2025,2025-04-14,LSG,CSK,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,CSK,field,CSK,wickets,5,1106
2025,2025-04-15,PBKS,KKR,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,PBKS,bat,PBKS,runs,16,1107
